"Category","Setting","CurrentValue","RecommendedValue","Status","CheckId","Remediation"
"External Sharing","SharePoint External Sharing Level","External users and guests (anyone with link)","Existing external users only (or more restrictive)","Warning","SPO-SHARING-001.1","Run: Set-SPOTenant -SharingCapability ExistingExternalUserSharingOnly. SharePoint admin center > Policies > Sharing."
"External Sharing","Resharing by External Users","True","False","Warning","SPO-SHARING-002.1","Run: Set-SPOTenant -PreventExternalUsersFromResharing $true. SharePoint admin center > Policies > Sharing."
"External Sharing","Sharing Domain Restriction","No restriction","Allow or Block list configured","Review","SPO-SHARING-003.1","Run: Set-SPOTenant -SharingDomainRestrictionMode AllowList -SharingAllowedDomainList ""partner.com"". SharePoint admin center > Policies > Sharing > Limit sharing by domain."
"Sync & Access","Block Sync from Unmanaged Devices","","True","Warning","SPO-SYNC-001.1","Run: Set-SPOTenantSyncClientRestriction -Enable. SharePoint admin center > Settings > Sync > Allow syncing only on computers joined to specific domains."
"Sync & Access","Mac Sync App Enabled","True","Review","Info","SPO-SYNC-002.1","Informational — review based on organizational requirements."
"Collaboration Features","Loop Components Enabled","False","Review","Info","SPO-LOOP-001.1","Informational — review based on organizational requirements."
"Collaboration Features","OneDrive Loop Sharing","","Restricted or disabled","Info","SPO-LOOP-002.1","Informational — review based on organizational requirements."
"Sync & Access","Idle Session Timeout Policy","Not configured","Configured","Warning","SPO-SESSION-001.1","Run: Set-SPOBrowserIdleSignOut -Enabled $true -SignOutAfter '01:00:00'. M365 admin center > Settings > Org settings > Idle session timeout."
"External Sharing","Default Sharing Link Type","Not available via API","Specific people (direct)","Review","SPO-SHARING-004.1","Run: Set-SPOTenant -DefaultSharingLinkType Direct. SharePoint admin center > Policies > Sharing > File and folder links > Default link type > Specific people."
"External Sharing","Guest Access Expiration","Not available via API","Enabled (30 days or less)","Review","SPO-SHARING-005.1","Run: Set-SPOTenant -ExternalUserExpirationRequired $true -ExternalUserExpireInDays 30. SharePoint admin center > Policies > Sharing > Guest access expiration."
"External Sharing","Reauthentication with Verification Code","Not available via API","Enabled (30 days or less)","Review","SPO-SHARING-006.1","Run: Set-SPOTenant -EmailAttestationRequired $true -EmailAttestationReAuthDays 30. SharePoint admin center > Policies > Sharing > Verification code reauthentication."
"External Sharing","Default Sharing Link Permission","Not available via API","View (read-only)","Review","SPO-SHARING-007.1","Run: Set-SPOTenant -DefaultLinkPermission View. SharePoint admin center > Policies > Sharing > File and folder links > Default permission > View."
"Authentication","Legacy Authentication Protocols","Not available via API","False","Review","SPO-AUTH-001.1","Check via SharePoint admin center > Policies > Access control > Apps that do not use modern authentication."
